"","...1","name","tiplabel","species","AphiaID"
"4037",4037,4037,"Lycodes_vahlii","Lycodes vahlii",127118
"4038",4038,4038,"Lycodes_pallidus","Lycodes pallidus",127110
"4039",4039,4039,"Lycodes_paamiuti","Lycodes paamiuti",159262
"4040",4040,4040,"Lycodes_palearis","Lycodes palearis",254585
"4041",4041,4041,"Lycodes_fasciatus","Lycodes fasciatus",274098
"4042",4042,4042,"Lycodes_brevipes","Lycodes brevipes",254595
"4043",4043,4043,"Lycodes_adolfi","Lycodes adolfi",127102
"4044",4044,4044,"Lycodes_terraenovae","Lycodes terraenovae",127117
"4045",4045,4045,"Lycodes_esmarkii","Lycodes esmarkii",127103
"4046",4046,4046,"Lycodes_polaris","Lycodes polaris",127111
"4047",4047,4047,"Lycodes_tanakae","Lycodes tanakae",274124
"4048",4048,4048,"Lycodes_mucosus","Lycodes mucosus",254584
"4049",4049,4049,"Lycodes_seminudus","Lycodes seminudus",127115
"4050",4050,4050,"Lycodes_turneri","Lycodes turneri",254599
"4051",4051,4051,"Lycodes_raridens","Lycodes raridens",254598
"4052",4052,4052,"Lycodes_reticulatus","Lycodes reticulatus",127112
"4053",4053,4053,"Lycodes_lavalaei","Lycodes lavalaei",127107
"4054",4054,4054,"Lycodes_rossi","Lycodes rossi",127113
"4055",4055,4055,"Lycodes_concolor","Lycodes concolor",NA
"4056",4056,4056,"Lycodes_brunneofasciatus","Lycodes brunneofasciatus",274095
"4057",4057,4057,"Lycodes_soldatovi","Lycodes soldatovi",274123
"4058",4058,4058,"Lycodes_yamatoi","Lycodes yamatoi",274128
"4059",4059,4059,"Lycodes_fulvus","Lycodes fulvus",274099
"4060",4060,4060,"Lycodes_nakamurae","Lycodes nakamurae",274112
"4061",4061,4061,"Bothrocara_brunneum","Bothrocara brunneum",279397
"4062",4062,4062,"Bothrocara_soldatovi","Bothrocara soldatovi",279401
"4063",4063,4063,"Bothrocarina_microcephala","Bothrocarina microcephala",279948
"4064",4064,4064,"Bothrocara_pusillum","Bothrocara pusillum",279400
"4065",4065,4065,"Bothrocara_molle","Bothrocara molle",234593
"4066",4066,4066,"Lycogrammoides_schmidti","Lycogrammoides schmidti",281448
"4067",4067,4067,"Bothrocarina_nigrocaudata","Bothrocarina nigrocaudata",279949
"4068",4068,4068,"Bothrocara_hollandi","Bothrocara hollandi",279399
